Latitude;Longitude;ID;Altitude;Nom;versant
42.978500;-0.748167;7943;1650;ARETTE LA-PIERRE-SAINT-MARTIN;0,5
44.870833;6.487167;7945;1270;PELVOUX ST ANTOINE;0,5
42.901500;-0.388167;7949;1860;Artouste;0,3
42.950000;-0.331667;7950;1600;Gourette;0,2
42.879667;-0.158167;7952;1920;CAUTERETS_LYS;0
42.881000;-0.063833;7953;1800;Luz Ardiden;0,2
42.828333;0.550000;7954;1107;St Paul d Oueil;0,5
42.729167;-0.031167;7955;1840;GAVARNIE_ESPECIERES;0,5
42.905500;0.130833;7957;1740;Bareges;0
42.782167;0.160000;7959;1860;Piau;0,1
42.943500;0.456167;7960;1590;Nistos;0,5
42.816500;0.254667;7964;2085;ST LARY LITA;0,1
42.791167;0.388000;7965;1460;Val Louron;0,3
42.835333;0.934667;7966;1000;SENTEIN EYLIE HAUT;0,7
42.786833;0.477667;7968;1569;Les Agudes;0,4
42.770500;0.576333;7969;1763;Superbagneres;0,1
42.724000;1.690667;7970;1789;Beille;0,5
42.778833;1.300833;7971;1384;Guzet;0,5
42.692333;1.796500;7972;1715;Ax Bonascre;0,4
42.843833;1.744167;7973;1472;Mont d Olmes;0,1
42.730333;1.954000;7974;1500;Ascou Pailheres;0,5
42.590167;1.800333;7975;1420;L Hospitalet;0,5
42.726500;2.017000;7976;1530;Mijanes;0,2
42.551667;1.789000;7977;2087;PORTE-PUYMORENS;0,1
42.807167;1.381167;7978;1280;Etang de L Hers;0,5
42.531833;2.031833;7980;2124;FONT-ROMEU-GALINERA;0,5
42.571667;2.051667;7981;2108;Les Angles;0,5
42.623667;2.068333;7982;1753;FORMIGUERE;0,7
42.472833;2.117667;7984;1941;ST PIERRE DELS FORCATS;0,1
42.286833;8.891667;7985;1420;Vergio;0,4
41.999333;9.123167;7986;1623;Bastelica;0,7
42.402667;8.922667;7987;1434;ASCO-STAGNU;0,4
42.077000;9.147167;7989;1670;GHISONI-CAPAGHJOLU;0,5
46.563333;6.121667;;1230;BOIS D'AMONT CHALET-GAILLARD;
46.600000;6.116667;;1100;CHAPELLE;
47.818333;6.840000;;1120;BALLON D'ALSACE;
42.510000;1.530000;;1105;ANDORRE LA VIEILLE;
