numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07876;20140901060000;1270.000000;0;0.000000;280.650000;275.530000;70;0;6;0;4;4;800;5;0;0;5.400000;mq;279.650000;mq;291.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;2;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20140901070000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20140901060000;636.000000;0;0.000000;284.950000;284.640000;98;45;4;0;8;8;150;6;/;/;0.000000;mq;284.850000;mq;298.250000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07898;20140901063000;1080.000000;40;14.000000;281.650000;mq;mq;0;6;0;2;2;250;5;0;0;1.400000;281.150000;mq;294.650000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07962;20140901054500;680.000000;0;0.000000;283.650000;282.880000;95;0;0;0;0;0;mq;0;0;0;0.000000;mq;283.650000;mq;298.350000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20140901052000;1000.000000;0;0.000000;283.750000;282.180000;90;0;0;0;2;0;8000;0;0;2;0.000000;mq;283.550000;mq;295.250000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20140901051500;790.000000;0;0.000000;281.750000;mq;mq;0;6;0;3;2;450;6;3;0;10.800000;mq;281.150000;mq;293.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07975;20140901062500;1420.000000;0;0.000000;281.650000;280.740000;94;0;0;0;2;0;8000;0;0;2;0.000000;mq;281.450000;mq;294.150000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20140901061500;1327.000000;40;2.000000;285.150000;285.000000;99;0;4;0;0;0;mq;0;0;0;0.000000;mq;283.150000;mq;287.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07723;20140901053000;1388.000000;0;0.000000;284.050000;280.370000;78;0;0;0;0;0;mq;0;0;0;0.000000;mq;282.950000;mq;293.550000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07954;20140901055600;1115.000000;0;0.000000;283.750000;280.810000;82;0;4;0;3;0;8000;0;0;2;0.000000;mq;283.050000;mq;295.350000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20140901053000;1270.000000;0;0.000000;281.950000;281.040000;94;0;0;0;3;3;1250;6;0;0;0.000000;mq;281.750000;mq;291.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07917;20140901060000;1281.000000;270;2.000000;281.550000;274.470000;61;0;0;0;2;2;800;5;0;0;0.000000;mq;281.450000;mq;293.850000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07931;20140901055000;1665.000000;90;2.000000;280.850000;269.360000;44;0;0;0;0;0;mq;0;0;0;0.000000;mq;279.950000;mq;293.550000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
