numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07499;20200201071000;1025.000000;0;0.000000;mq;mq;mq;0;0;0;3;0;8000;0;0;2;mq;mq;mq;mq;mq;0.120000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07566;20200201073000;1795.000000;0;0.000000;270.850000;262.080000;51;0;0;0;3;1;1750;0;3;2;0.000000;mq;269.250000;mq;275.950000;1.500000;0.000000;-99;768.000000;3100.000000;mq;268.050000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;7;7;mq;mq;mq;
07590;20200201064500;1270.000000;0;0.000000;275.850000;272.570000;79;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.450000;mq;283.650000;0.260000;0.000000;-99;768.000000;3100.000000;mq;272.350000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07599;20200201071500;1240.000000;180;2.000000;277.150000;274.190000;81;0;0;0;7;1;450;6;2;0;0.000000;mq;275.550000;mq;282.850000;0.040000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07884;20200201071500;1400.000000;220;7.000000;279.150000;mq;mq;0;6;0;1;0;8000;0;0;2;0.300000;mq;270.150000;mq;280.150000;0.950000;0.000000;-99;768.000000;3100.000000;mq;273.150000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;6;mq;mq;mq;
07897;20200201073000;1870.000000;0;0.000000;278.350000;mq;mq;0;0;0;3;1;1750;0;7;2;mq;mq;274.450000;mq;280.950000;1.500000;0.000000;-99;768.000000;3100.000000;mq;270.350000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;7;3;mq;2;mq;
07904;20200201063000;2080.000000;0;0.000000;269.950000;267.630000;84;0;0;0;3;3;1250;5;3;0;0.000000;mq;266.250000;mq;279.750000;1.750000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;3;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;6;2;mq;mq;mq;
07931;20200201065500;1665.000000;90;2.000000;273.750000;270.010000;76;0;0;0;8;4;1250;5;3;2;0.000000;mq;271.450000;mq;283.750000;0.520000;0.000000;-99;768.000000;3100.000000;mq;269.850000;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;3;mq;mq;mq;
07966;20200201072000;1000.000000;0;0.000000;281.250000;280.500000;95;60;6;0;8;8;1250;5;/;/;0.700000;mq;280.050000;mq;286.850000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;20200201070000;1850.000000;40;2.000000;275.350000;271.560000;76;0;0;0;2;2;800;0;7;0;0.000000;mq;274.350000;mq;279.750000;0.800000;0.000000;-99;768.000000;3100.000000;mq;273.150000;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;7;mq;1;410.000000;
