numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07720;20000201070000;2880.000000;mq;mq;mq;mq;mq;0;0;0;6;0;mq;0;0;2;0.000000;mq;mq;mq;mq;mq;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07726;20000201070000;1380.000000;180;7.700000;mq;mq;mq;0;0;0;5;0;mq;0;0;2;0.000000;mq;mq;mq;mq;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07456;20000201080000;2180.000000;0;0.000000;278.150000;257.020000;20;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.150000;mq;280.150000;0.940000;mq;mq;3100.000000;mq;mq;268.950000;7;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;7;7;mq;mq;mq;
07457;20000201080000;790.000000;0;0.000000;273.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;272.040000;mq;280.150000;mq;0.110000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;20000201080000;1160.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;0.470000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20000201080000;1020.000000;0;0.000000;267.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;267.150000;mq;280.150000;mq;0.350000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;20000201080000;970.000000;0;0.000000;269.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;269.150000;mq;274.150000;mq;0.150000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;20000201080000;1850.000000;0;0.000000;271.650000;263.540000;54;0;0;0;0;0;mq;0;0;0;0.000000;mq;263.650000;mq;278.650000;1.100000;mq;mq;3100.000000;mq;mq;267.040000;0;0;0;0;0;0;0;0;1;mq;mq;mq;mq;mq;2;2;0;mq;mq;
07566;20000201080000;1795.000000;0;0.000000;278.150000;265.000000;38;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.150000;mq;278.150000;0.700000;mq;mq;3100.000000;mq;mq;mq;0;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;2;3;0;mq;mq;
07589;20000201080000;1570.000000;0;0.000000;277.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.650000;mq;282.150000;0.500000;mq;mq;3100.000000;mq;mq;272.150000;7;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07593;20000201080000;1336.000000;0;0.000000;273.040000;265.770000;58;0;0;0;1;0;8000;0;0;2;0.000000;mq;273.040000;mq;287.650000;0.060000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
