numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07720;20010101010000;2880.000000;180;10.300000;mq;mq;mq;0;mq;mq;6;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07726;20010101010000;1380.000000;180;7.700000;265.150000;mq;mq;0;6;0;4;mq;mq;/;/;/;0.600000;264.150000;mq;283.150000;mq;0.050000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20010101080000;790.000000;0;0.000000;268.650000;mq;mq;0;0;0;3;0;2250;0;0;2;0.000000;264.150000;mq;269.650000;mq;0.020000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;20010101080000;1160.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;0.200000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20010101080000;1020.000000;0;0.000000;268.150000;mq;mq;0;0;0;8;mq;1250;/;/;/;0.000000;264.150000;mq;272.650000;mq;0.020000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;20010101080000;1850.000000;0;0.000000;267.650000;261.320000;61;0;0;0;5;5;1750;0;1;0;0.000000;mq;254.650000;mq;269.650000;0.350000;mq;mq;3100.000000;mq;mq;266.950000;0;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;2;3;0;2;mq;
07499;20010101080000;1050.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.050000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07566;20010101080000;1795.000000;0;0.000000;276.150000;269.140000;60;0;0;0;6;6;3500;0;3;2;0.000000;mq;260.150000;mq;276.150000;0.480000;mq;mq;3100.000000;mq;mq;265.950000;1;0;0;0;0;0;0;0;3;mq;mq;mq;mq;mq;4;8;0;2;mq;
07567;20010101080000;2100.000000;0;0.000000;275.650000;mq;mq;0;0;0;5;4;2250;0;3;2;0.000000;mq;257.350000;mq;275.650000;0.660000;mq;mq;3100.000000;mq;mq;267.150000;0;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20010101080000;1570.000000;0;0.000000;273.650000;mq;mq;0;0;0;8;6;2250;0;3;2;0.000000;mq;266.150000;mq;276.150000;0.200000;mq;mq;3100.000000;mq;mq;270.150000;0;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
