numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07457;20211201060000;790.000000;0;0.000000;271.950000;mq;mq;0;7;6;6;2;800;6;7;0;2.700000;mq;271.150000;mq;274.350000;0.110000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20211201070000;1025.000000;0;0.000000;mq;mq;mq;0;0;0;7;7;1750;0;3;/;0.000000;mq;mq;mq;mq;0.140000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07954;20211201065800;1107.000000;0;0.000000;275.150000;272.060000;80;0;0;0;4;3;2250;0;3;2;0.000000;mq;271.250000;mq;279.950000;0.200000;0.000000;-99;768.000000;3100.000000;mq;270.550000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;7;mq;1;140.000000;
07590;20211201065000;1270.000000;0;0.000000;269.650000;266.860000;81;0;0;0;3;0;8000;0;0;2;0.000000;mq;263.950000;mq;271.450000;0.070000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07931;20211201065000;1665.000000;90;2.000000;269.150000;263.540000;65;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.650000;mq;277.150000;0.010000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;
07945;20211201080000;1270.000000;0;0.000000;268.450000;265.850000;82;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.550000;mq;278.450000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;9;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07952;20211201073000;1840.000000;180;7.000000;276.850000;mq;mq;0;0;0;6;5;1250;0;3;2;0.000000;mq;mq;mq;mq;1.400000;0.000000;-99;768.000000;3100.000000;mq;266.650000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;3;mq;1;200.000000;
07939;20211201075500;1860.000000;90;2.000000;270.550000;267.410000;79;0;0;0;0;0;mq;0;0;0;0.000000;mq;261.150000;mq;273.950000;0.200000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07960;20211201080000;1590.000000;0;0.000000;274.550000;273.690000;94;0;0;0;7;5;450;5;3;2;0.000000;mq;270.550000;mq;274.550000;0.400000;0.000000;-99;768.000000;3100.000000;mq;269.950000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;3;mq;1;240.000000;
07498;20211201073000;1854.000000;310;1.000000;267.750000;265.470000;84;0;0;7;5;5;1750;0;3;2;0.600000;mq;257.850000;mq;268.250000;0.190000;0.010000;-99;768.000000;3101.000000;mq;269.550000;mq;0;3;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
