numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07484;20100201060000;1018.000000;0;0.000000;253.650000;247.660000;59;0;0;0;0;0;mq;0;0;0;0.000000;mq;250.550000;mq;268.750000;0.430000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20100201063000;790.000000;0;0.000000;259.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;258.650000;mq;269.650000;0.320000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07908;20100201062000;1970.000000;0;0.000000;257.150000;248.650000;48;0;0;0;0;0;mq;0;0;0;0.000000;mq;254.250000;mq;260.550000;1.620000;0.000000;-99;768.000000;3100.000000;mq;255.950000;mq;0;mq;0;mq;mq;mq;mq;3;40;13.000000;3.800000;0.000000;mq;1;1;mq;mq;mq;
07590;20100201065500;1270.000000;40;2.000000;259.750000;253.030000;57;0;0;0;0;0;mq;0;0;0;0.000000;mq;257.750000;mq;268.650000;0.510000;0.000000;-99;768.000000;3100.000000;mq;264.350000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07725;20100201065000;1420.000000;0;0.000000;265.750000;261.220000;70;0;7;4;1;1;2250;0;3;0;0.200000;mq;264.650000;mq;277.650000;0.200000;0.010000;-99;768.000000;3101.000000;mq;265.150000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;1;mq;1;120.000000;
07876;20100201065000;1270.000000;40;2.000000;260.450000;253.900000;58;0;0;0;0;0;mq;0;0;0;0.000000;mq;259.850000;mq;269.150000;1.000000;0.000000;-99;768.000000;3100.000000;mq;262.450000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07895;20100201065000;1970.000000;0;0.000000;257.650000;240.720000;22;0;0;0;1;0;8000;0;0;2;0.000000;mq;254.350000;mq;262.950000;1.180000;0.000000;-99;768.000000;3100.000000;mq;257.750000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;1;mq;1;80.000000;
07904;20100201065000;2080.000000;0;0.000000;254.150000;246.310000;50;0;0;0;1;1;1750;0;4;0;0.000000;mq;247.150000;mq;260.150000;1.090000;0.000000;-99;768.000000;3100.000000;mq;252.650000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07954;20100201065000;1115.000000;0;0.000000;265.750000;261.220000;70;0;7;4;1;1;2250;0;3;0;0.200000;mq;264.650000;mq;277.650000;0.200000;0.010000;-99;768.000000;3101.000000;mq;265.150000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;1;mq;1;120.000000;
07593;20100201070000;1310.000000;0;0.000000;256.150000;249.640000;57;0;0;0;0;0;mq;0;0;0;0.000000;mq;255.750000;mq;270.550000;0.400000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
