numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07484;19960201080000;1020.000000;0;0.000000;268.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;268.150000;mq;280.350000;mq;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;19960201080000;970.000000;0;0.000000;268.150000;mq;mq;0;0;0;2;2;3500;0;3;0;0.000000;268.150000;mq;278.150000;mq;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;19960201080000;1850.000000;130;2.000000;267.950000;256.740000;41;0;7;0;2;0;8000;0;0;9;0.100000;mq;262.950000;mq;271.540000;0.600000;mq;mq;3101.000000;mq;mq;267.850000;3;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;3;3;0;mq;mq;
07499;19960201080000;1050.000000;0;0.000000;269.150000;mq;mq;16;4;7;3;3;2250;0;4;0;0.300000;mq;266.150000;mq;276.650000;0.010000;mq;mq;3101.000000;mq;mq;mq;mq;mq;mq;7;0;0;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07566;19960201080000;1795.000000;40;7.700000;264.150000;260.360000;74;0;7;7;6;6;2250;2;1;0;1.400000;mq;261.650000;mq;271.650000;0.600000;mq;mq;3102.000000;mq;mq;267.150000;0;0;0;mq;0;0;0;0;2;mq;mq;mq;mq;mq;1;9;0;mq;mq;
07589;19960201080000;1570.000000;0;0.000000;267.150000;mq;mq;0;0;0;4;4;2250;0;3;0;0.000000;mq;266.150000;mq;276.150000;0.200000;mq;mq;3100.000000;mq;mq;268.150000;7;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07593;19960201080000;1336.000000;90;3.000000;268.450000;262.070000;61;0;0;0;6;2;2250;0;3;2;0.000000;mq;268.150000;mq;274.040000;0.270000;mq;mq;3100.000000;mq;mq;270.350000;7;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07594;19960201080000;1860.000000;90;1.000000;262.650000;261.870000;94;44;0;0;6;6;1750;0;3;/;0.000000;mq;261.850000;mq;268.540000;0.800000;mq;mq;3100.000000;mq;mq;262.750000;3;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;19960201080000;1327.000000;130;5.100000;274.150000;mq;mq;0;0;0;8;7;450;6;3;/;0.000000;mq;273.150000;mq;278.650000;0.100000;mq;mq;3100.000000;mq;mq;272.650000;8;0;mq;0;0;0;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;19960201080000;1850.000000;0;0.000000;267.150000;mq;mq;0;0;0;8;8;1750;0;1;/;0.000000;260.150000;mq;270.650000;mq;1.800000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
