numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07484;20120301060000;1018.000000;0;0.000000;269.750000;268.350000;90;0;0;0;0;0;mq;0;0;0;0.000000;mq;266.850000;mq;284.150000;0.280000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20120301061500;790.000000;0;0.000000;272.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;270.950000;mq;280.950000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07470;20120301080000;1850.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20120301080000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.460000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20120301064500;1270.000000;0;0.000000;278.850000;273.610000;69;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.750000;mq;286.650000;0.480000;0.000000;-99;768.000000;3100.000000;mq;272.250000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07599;20120301072000;1240.000000;180;5.000000;283.250000;272.150000;46;0;0;0;0;0;mq;0;0;0;0.000000;mq;269.550000;mq;289.050000;0.060000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;7;mq;mq;mq;
07818;20120301070000;1250.000000;0;0.000000;277.150000;267.390000;49;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.150000;mq;287.150000;0.450000;0.000000;-99;768.000000;3100.000000;mq;272.950000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;1.700000;0.000000;mq;0;0;0;mq;mq;
07856;20120301063000;1640.000000;0;0.000000;280.350000;267.310000;39;0;0;0;0;0;mq;0;0;0;0.000000;mq;268.550000;mq;285.950000;1.550000;0.000000;-99;768.000000;3100.000000;mq;272.950000;mq;0;0;0;mq;mq;mq;mq;2;180;8.000000;3.400000;0.000000;mq;6;6;mq;2;mq;
07878;20120301073000;1600.000000;0;0.000000;279.850000;269.610000;48;0;0;0;0;0;mq;0;0;0;0.000000;mq;276.950000;mq;283.550000;0.720000;0.000000;-99;768.000000;3100.000000;mq;273.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;6;mq;2;mq;
07889;20120301073000;1800.000000;0;0.000000;278.650000;268.500000;48;0;0;0;0;0;mq;0;0;0;0.000000;mq;277.150000;mq;282.650000;0.760000;0.000000;-99;768.000000;3100.000000;mq;272.850000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;6;4;mq;mq;mq;
07892;20120301070000;1700.000000;0;0.000000;271.450000;270.030000;90;0;0;0;0;0;mq;0;0;0;0.000000;mq;271.150000;mq;286.950000;1.200000;0.000000;-99;768.000000;3100.000000;mq;267.450000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;7;4;mq;2;mq;
