numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07720;19990201070000;2880.000000;40;11.300000;mq;mq;mq;0;0;0;0;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07726;19990201070000;1380.000000;0;0.000000;261.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;259.150000;mq;276.150000;mq;0.250000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07456;19990201080000;2180.000000;0;0.000000;266.150000;246.930000;20;0;0;0;0;0;mq;0;0;0;0.000000;mq;256.150000;mq;267.150000;1.040000;mq;mq;3100.000000;mq;mq;256.150000;1;0;0;2;5;3;6;4;4;0;0.000000;mq;mq;mq;1;2;0;mq;mq;
07457;19990201080000;790.000000;360;2.500000;260.950000;mq;mq;0;0;0;6;4;1250;6;7;0;0.000000;260.540000;mq;266.950000;mq;0.150000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;19990201080000;1160.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;0.790000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;19990201080000;1020.000000;0;0.000000;262.650000;mq;mq;0;7;mq;7;mq;800;/;/;/;0.100000;260.650000;mq;268.650000;mq;0.400000;mq;mq;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;19990201080000;970.000000;0;0.000000;263.150000;mq;mq;0;0;0;8;8;800;5;/;/;0.000000;261.150000;mq;268.150000;mq;0.200000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;19990201080000;1850.000000;160;1.000000;259.250000;250.830000;49;0;0;0;0;0;mq;0;0;0;0.000000;mq;251.150000;mq;262.650000;1.100000;mq;mq;3100.000000;mq;mq;262.540000;0;0;0;0;1;3;9;9;3;mq;mq;mq;mq;mq;1;2;0;mq;mq;
07566;19990201080000;1795.000000;90;2.500000;263.150000;251.200000;37;0;0;0;0;0;mq;0;0;0;0.000000;mq;254.150000;mq;265.150000;1.030000;mq;mq;3100.000000;mq;mq;255.550000;1;0;0;0;0;0;0;0;4;mq;mq;mq;mq;mq;2;8;0;mq;mq;
07567;19990201080000;2100.000000;0;0.000000;262.150000;mq;mq;0;0;0;1;1;2250;0;3;0;0.000000;mq;255.150000;mq;265.150000;0.900000;mq;mq;3100.000000;mq;mq;257.150000;0;0;0;6;0;0;0;0;4;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
