numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07566;20200101073000;1795.000000;0;0.000000;269.750000;254.240000;29;0;0;0;2;0;8000;0;0;2;0.000000;mq;268.950000;mq;272.750000;1.400000;0.000000;-99;768.000000;3100.000000;mq;267.950000;mq;0;9;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07856;20200101063000;1620.000000;0;0.000000;274.550000;272.140000;84;0;0;0;1;1;8000;0;0;2;0.000000;mq;272.450000;mq;277.350000;0.840000;0.000000;-99;768.000000;3100.000000;mq;270.950000;mq;0;mq;1;mq;mq;mq;mq;2;220;6.000000;2.360000;0.000000;mq;8;3;mq;1;150.000000;
07872;20200101074000;1355.000000;0;0.000000;274.850000;262.680000;40;0;0;0;3;0;8000;0;0;2;0.000000;mq;272.550000;mq;279.550000;0.190000;0.000000;-99;768.000000;3100.000000;mq;271.850000;mq;0;7;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;4;mq;2;mq;
07876;20200101070000;1270.000000;90;2.000000;274.950000;mq;mq;0;0;0;1;0;8000;0;0;2;0.000000;mq;mq;mq;mq;0.470000;0.000000;-99;768.000000;3100.000000;mq;270.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;3;mq;mq;mq;
07888;20200101071200;1800.000000;0;0.000000;275.950000;262.690000;37;0;0;0;3;2;mq;0;3;2;0.000000;mq;273.250000;mq;281.250000;0.840000;0.000000;-99;768.000000;3100.000000;mq;268.950000;mq;0;mq;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;2;mq;
07892;20200101073000;1700.000000;0;0.000000;266.950000;266.140000;94;0;0;0;2;0;8000;0;0;2;0.000000;mq;266.650000;mq;275.650000;0.720000;0.000000;-99;768.000000;3100.000000;mq;263.750000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;8;3;mq;2;mq;
07894;20200101074000;1350.000000;200;2.000000;276.250000;266.020000;47;0;0;0;3;0;8000;0;0;2;0.000000;mq;273.450000;mq;279.350000;0.600000;0.000000;-99;768.000000;3100.000000;mq;269.150000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;4;mq;2;mq;
07896;20200101073000;1416.000000;0;0.000000;268.850000;265.420000;77;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.650000;mq;275.150000;0.600000;0.000000;-99;768.000000;3100.000000;mq;265.250000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;8;2;mq;0;130.000000;
07897;20200101072000;1870.000000;0;0.000000;277.950000;mq;mq;0;0;0;3;0;8000;0;0;7;mq;mq;275.450000;mq;279.850000;1.350000;0.000000;-99;768.000000;3100.000000;mq;262.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;3;mq;1;135.000000;
07900;20200101070000;2040.000000;0;0.000000;271.850000;257.620000;33;0;0;0;1;1;8000;0;0;9;0.000000;mq;269.650000;mq;273.450000;1.550000;0.000000;-99;768.000000;3100.000000;mq;264.450000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;3;mq;1;160.000000;
