numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07904;20200401075500;2080.000000;0;0.000000;269.450000;261.720000;55;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.150000;mq;276.750000;1.960000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;2;mq;
07912;20200401110000;1707.000000;0;0.000000;277.950000;266.420000;43;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.610000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07904;20200402063000;2080.000000;0;0.000000;264.750000;258.370000;60;0;0;0;0;0;mq;0;0;0;0.000000;mq;263.750000;mq;277.050000;1.940000;0.000000;-99;768.000000;3100.000000;mq;268.550000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;2;mq;
07895;20200402060000;1970.000000;0;0.000000;268.150000;266.470000;88;0;0;0;2;2;450;2;0;0;0.000000;mq;267.650000;mq;278.150000;1.500000;0.000000;-99;768.000000;3100.000000;mq;271.650000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;6;mq;1;mq;
07895;20200403060000;1970.000000;0;0.000000;269.150000;267.460000;88;0;0;0;5;5;450;2;0;0;0.000000;mq;268.150000;mq;278.150000;1.500000;0.000000;-99;768.000000;3100.000000;mq;272.350000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;6;mq;1;mq;
07904;20200403063000;2080.000000;0;0.000000;266.050000;262.370000;75;0;0;0;2;2;450;2;0;0;0.000000;mq;264.550000;mq;275.750000;1.940000;0.000000;-99;768.000000;3100.000000;mq;268.250000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;1;420.000000;
07895;20200404060000;1970.000000;0;0.000000;269.150000;264.490000;70;0;0;0;0;0;mq;0;0;0;0.000000;mq;268.150000;mq;278.650000;1.480000;0.000000;-99;768.000000;3100.000000;mq;269.850000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;6;mq;1;mq;
07904;20200404073000;2080.000000;0;0.000000;266.550000;260.070000;60;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.650000;mq;276.750000;1.930000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;6;6;mq;2;mq;
07589;20200405071500;1570.000000;0;0.000000;277.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;275.150000;mq;286.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07912;20200405060000;1707.000000;40;1.000000;268.550000;264.790000;75;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.650000;mq;282.650000;0.540000;0.000000;-99;768.000000;3100.000000;mq;267.350000;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
