numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07720;19980201070000;2880.000000;270;3.000000;mq;mq;mq;0;0;0;0;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;mq;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07726;19980201070000;1380.000000;180;2.000000;270.150000;mq;mq;0;0;0;1;1;mq;0;3;0;0.000000;270.150000;mq;278.650000;mq;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07456;19980201080000;2180.000000;0;0.000000;267.150000;259.560000;55;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.150000;mq;275.150000;0.400000;mq;mq;3100.000000;mq;mq;266.350000;3;0;0;0;6;6;2;3;2;mq;mq;mq;mq;mq;4;3;0;mq;mq;
07457;19980201080000;790.000000;0;0.000000;263.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;263.150000;mq;271.150000;mq;0.130000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;19980201080000;1150.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;0.340000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;19980201080000;1020.000000;0;0.000000;267.150000;mq;mq;0;0;0;7;mq;800;/;/;/;0.000000;265.650000;mq;278.150000;mq;0.200000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;19980201080000;970.000000;0;0.000000;267.150000;mq;mq;0;0;0;4;4;1750;0;3;2;0.000000;266.150000;mq;278.150000;mq;0.120000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07498;19980201080000;1850.000000;0;0.000000;262.540000;254.810000;53;0;0;0;0;0;mq;0;0;0;0.000000;mq;260.650000;mq;268.650000;0.950000;mq;mq;3100.000000;mq;mq;263.750000;1;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;8;8;mq;mq;mq;
07499;19980201080000;1050.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;mq;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07566;19980201080000;1795.000000;0;0.000000;261.150000;253.060000;51;0;0;0;0;0;mq;0;0;0;0.000000;mq;259.150000;mq;271.650000;0.700000;mq;mq;3100.000000;mq;mq;259.950000;0;mq;0;0;0;0;0;0;3;mq;mq;mq;mq;mq;3;4;0;mq;mq;
07567;19980201080000;2100.000000;0;0.000000;262.650000;mq;mq;0;0;0;1;1;70;6;0;0;0.000000;mq;261.040000;mq;267.850000;0.790000;mq;mq;3100.000000;mq;mq;260.150000;0;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;19980201080000;1570.000000;0;0.000000;267.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;266.150000;mq;273.150000;0.700000;mq;mq;3100.000000;mq;mq;267.150000;3;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07593;19980201080000;1336.000000;0;0.000000;264.850000;261.210000;75;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.650000;mq;277.350000;0.520000;mq;mq;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07594;19980201080000;1860.000000;90;1.000000;265.650000;263.860000;87;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.250000;mq;273.850000;0.800000;mq;mq;3100.000000;mq;mq;255.450000;7;0;0;0;0;0;0;0;3;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;19980201080000;1327.000000;0;0.000000;277.150000;271.780000;68;0;0;0;4;2;1250;0;3;2;0.000000;mq;276.150000;mq;280.150000;0.000000;mq;mq;3100.000000;mq;mq;mq;mq;mq;0;0;0;0;0;0;1;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;19980201080000;1850.000000;0;0.000000;267.150000;mq;mq;0;0;0;3;3;2250;0;3;0;0.000000;mq;264.650000;mq;274.150000;0.850000;mq;mq;3100.000000;mq;mq;266.150000;0;mq;mq;mq;0;0;0;0;3;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07697;19980201080000;1550.000000;40;7.700000;269.150000;mq;mq;0;0;0;7;7;2250;6;7;/;0.000000;mq;267.150000;mq;275.150000;0.600000;mq;mq;3100.000000;mq;mq;267.150000;7;0;0;0;0;0;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
